Problem Name, Problem Text, Topic Name, Difficulty
Domino Covering, "An
8×8 chessboard can be entirely covered by
32 dominoes of size
2×1. Suppose we cut off two opposite corners of chess (i.e. two white blocks or two black blocks). Can you cover the remaining chessboard with
31 dominoes?",  Discrete Maths,  Easy
Random Ratio, "p and
q are two points chosen at random between
0 &
1. What is the probability that the ratio
q
p
lies between
1 &
2?",  Discrete Maths,  Medium
Counter Strike, "10 undercover agents have been found in don's lair. Less than half of them are terrorists and the rest are anti-terrorists. The nature of their job is so secret that there is no proof what so ever to testify who is who. Although each of them knows who was actual terrorist and who was anti because they worked in teams. A query consists of asking person
i if person
j is Anti. Anti will always speak truth but a terrorist may lie to confuse you. The goal is to find out one anti in fewest queries.",  Game Theory,  Hard
Pair of Socks, "There are
10 black socks and
10 white socks (no left-right distinction) in the wardrobe. Your task is to draw the minimum number of socks at random to be sure you have a pair of a single color. How many socks should you draw?",  Discrete Maths,  Easy
Drunk Passenger?, "A line of
100 airline passengers is waiting to board a plane. They each hold a ticket to one of the
100 seats on that flight. For convenience, let's say that the
n
th
passenger in line has a ticket for the seat number '
n'. Being drunk, the first person in line picks a random seat (equally likely for each seat). All of the other passengers are sober, and will go to their proper seats unless it is already occupied; If it is occupied, they will then find a free seat to sit in, at random. What is the probability that the last
100
th
person to board the plane will sit in their proper seat #100?",  Probability,  Medium
Horse race, "Suppose you are the manager of a horse racing event. You have 25 horses available to race, and each of them runs at a different constant speed. Unfortunately, the track only has 5 lanes, which means you can only race up to 5 horses at a time. Your objective is to find the top 3 fastest horses, but how many races do you need to conduct to achieve this goal?",  Puzzles,  Easy
Gambler's ruin problem, "Player M has
1 dollar and player N has
2 dollars. Each game gives the winner $1 from the other. As a better player, M wins 2/3 of the games. They play until one of them is bankrupt. Whatis the probability that M wins?",  Probability,  Medium
Fruit Magic, "13 Apples,
15 Bananas and
17 Cherries are put in the magic hat. When ever a collision of two different fruits occurs, they both get converted into the third type.",  Discrete Maths,  Medium
Poisonous wine, "There's a king in a far away kingdom. Someone breaks into his wine cellar where he stores
1000 bottles of wine. This person proceeds to poison one of the
1000 bottles, but gets away too quickly for the king's guard to see which one he poisoned or to catch him. The king needs the remaining
999 safe bottles for his party in
4 weeks. The king has
10 prisoners who deserve execution. The poison takes about
3 weeks to take effect, and any amount of it will kill whoever drinks it. Can he figure out which bottle was poisoned in time for the party?",  Puzzles,  Easy
Similar faces, "Suppose a pair of dice are thrown, and then thrown again. What is the probability that the faces appearing on the second throw are the same as the first?",  Probability,  Medium
Counterfeit coins, "You have
10 bags of
100 coins, and in all of them except for one, every coin weighs exactly
10 grams. However, in the counterfeit bag, all coins weigh either
9 or
11 grams. You need to identify the counterfeit bag in just one weighing, and you have a digital scale that provides accurate weights. Can you successfully find the counterfeit bag in just one attempt?",  Puzzles,  Easy
All Girls World?, "In a world where everyone wants a girl child, each family continues having babies till they have a girl. What do you think will the boy to girl ratio be eventually? (Assuming probability of having a boy or a girl is the same)",  Discrete Maths,  Easy
Rainbow Hats, "N people team up and decide on a strategy for playing this game. Then they walk into a room. On entry to the room, each person is given a hat on which one of the first
N natural numbers is written. There may be duplicate hat numbers. For example, for
N=3, the
3 team members may get hats labeled
2,0,2. Each person can see the numbers written on the others' hats, but does not know the number written on his own hat. Every person then simultaneously guesses the number of his own hat.",  Puzzles,  Medium
The Plane in the Wind, "An airplane flies in a straight line from airport
A to airport
B, then back in a straight line from
B to
A. It travels with a constant engine speed and there is no wind. Will its travel time for the same round trip be greater, less or the same if, throughout both flights, at the same engine speed, a constant wind blows from
A to
B?",  Puzzles,  Easy
Candies in a Jar, "You are taking out candies one by one from a jar that has
10 red candies,
20 blue candies, and
30 green candies in it. What is the probability that there are at least
1 blue candy and
1 green candy left in the jar when you have taken out all the red candies? (Candies of same color are indistinguishable!)",  Probability,  Medium
Devil's Penny, "You are in a game against devil, on a perfectly round table and with an infinite pile of pennies. He says,",  Puzzles,  Easy
Number of Double Heads, "A coin is tossed
10 times and the output written as a string. What is the expected number of
HH?",  Expected Value,  Medium
Scaling a Square, "On a table you have a square made of 4 coins at the corner at distance 1. So, the square is of size 1×1. In a valid move, you can choose any two coin let’s call them mirror and jumper. Now, you move the jumper in a new position which is its mirror image with respect to mirror. That is, imagine that mirror is a centre of a circle and the jumper is on the periphery. You move the jumper to a diagonally opposite point on that circle. With any number of valid moves, can you form a square of size 2×2?",  Geometry,  Medium
All Faces, "We roll a 6-sided die
n times. What is the probability that all faces have appeared? Calculate answer for
n=7.",  Probability,  Easy
Weird Sequences, "What is/are the next term(s) in the sequence:",  Number Theory,  Medium
Drunk Ant, "An ant is standing on one corner of a cube & can only walk on the edges. The ant is drunk and from any corner, it moves randomly by choosing any edge! What is the expected number of edges the ant travels, to reach the opposite corner?",  Expected Value,  Hard
Two cylinders, "Imagine two tubes, both with a radius of
1, crossing each other perfectly at the center. What is the total amount of space that is shared between the two tubes?",  Geometry,  Hard
Antipodal points, "Assuming that temperature varies continuously, is it true that we can always find two opposite points on the Earth's surface that have the same temperature?",  Discrete Maths,  Easy
Candy Game, "A group of students are sitting in a circle with the teacher in the center. They all have an even number of candies (not necessarily equal). When the teacher blows a whistle, each student passes half his candies to the student on his left. Then the students who have an odd number of candies obtain an extra candy from the teacher. Would all the students ever have the same number of candies after a finite number of whistles?",  Puzzles,  Medium
Calendar cubes, "I recently had two dice custom-made with single-digit numbers on their faces. My intention was to use these dice to help me display the current day of the month every morning. However, I need to figure out what numbers to place on each of the six faces of the dice to achieve this. It's important to note that I must use both dice to display days 1 to 9 as
01 to
09 and I am free to switch the order of the dice if needed. Is it possible to accomplish the task by putting numbers on dice faces?",  Puzzles,  Easy
Consecutive Faces, "After rolling a 6-sided die
n times, what is the expected number of rolls until a sequence of all faces that have appeared in some order in six consecutive rolls?",  Expected Value,  Medium
Chef's Delight, "You are chef for a day. There are 1024 different dishes you can make, but you need to pick 10 for the dinner menu. You've emailed the 3775 attendees a list of all the dishes and asked them to rank all the dishes in order of their preference (ranks go all the way from 1,2,3 … to …1024)",  Puzzles,  Hard
Two Player Die Game, "Player A and Player B take turns rolling two standard dice, first player A, then player B. If Player A rolls a sum of
6, A wins. If Player B rolls a sum of
7, B wins. What is the probability that Player A will be the victor?",  Probability,  Medium
Probability of Triangle, "A stick is broken into
3 parts, by choosing
2 points randomly along its length. With what probability can it form a triangle?",  Probability,  Easy
Distribution of Highest Roll, "We rolled
n dice and kept the highest one. What is the probability that the highest value is 3 for
n=4?",  Probability,  Medium
Prisoner's Hat (Infinity), "A countably infinite number of prisoners, each with an unknown and randomly assigned red or blue hat line up single file line. Each prisoner faces away from the beginning of the line, and each prisoner can see all the hats in front of him, and none of the hats behind. Starting from the beginning of the line, each prisoner must correctly identify the color of his hat or he is killed on the spot. As before, the prisoners have a chance to meet beforehand, but unlike before, once in line, no prisoner can hear what the other prisoners say. The question is, is there a way to ensure that only finitely many prisoners are killed?",  Strategy Game,  Hard
Chocolate Bar, "There is a
6x
8 rectangular chocolate bar made up of small
1x
1 bits. We want to break it into the
48 bits. We can break one piece of chocolate horizontally or vertically, but cannot break two pieces together! What is the minimum number of breaks required?",  Puzzles,  Easy
Intersecting Pillars, "We want to construct a structure made as follows: imagine that two long cylindrical pillars each with radius 1 intersect at right angles and their centers also intersect. What is the volume of this intersection?",  Geometry,  Hard
Get an Ace, "What is the expected number of cards that need to be turned over in a regular
52-card deck in order to see the first ace?",  Expected Value,  Medium
Light Bulbs in circle, "In a circle are light bulbs numbered
1 through
n, all initially on. At time
t, you examine bulb number
t, and if it’s on, you change the state of bulb
(t+1)modn; i.e., you turn it off if it’s on, and on if it’s off. If bulb
t is off, you do nothing. If you continue around the ring in this manner, would there be a point when all the bulbs will eventually be on again?",  Puzzles,  Medium
Tigers & The Sheep, "Hundred tigers and one sheep are put on a magic island that only has grass. Tigers can live on grass, but they want to eat sheep. If a Tiger bites the Sheep then it will become a sheep itself. If 2 tigers attack a sheep, only the first tiger to bite converts into a sheep. Tigers don’t mind being a sheep, but they have a risk of getting eaten by another tiger. All tigers are intelligent and want to survive. Will the sheep survive?",  Puzzles,  Easy
Prisoner's Hat (multicolor), "100 prisoners are lined up and assigned a random hat These hats are available in
10 different unique and distinguishable colors. Each prisoner can see the hats in front of him but not behind. Starting with the prisoner in the back of the line and moving forward, they must each, in turn, say only one word which must be the color like "red" or "blue" or "green" etc. If the word matches their hat color they are released, if not, they are killed on the spot. They can hear each others answers, no matter how far they are on the line. You are the one who will help them come up with a strategy to save themselves. What is the max number of prisoners that you can certainly save ?",  Strategy Game,  Easy
Cubic of integer, "Imagine that you are playing a game with a friend where you have to pick a number between
1 to
10
12
. Your friend tells you that if you can choose a number whose cube ends in
11, you will win a prize. What is the likelihood that you will win?",  Discrete Maths,  Easy
Expected Rolls II, "On average, how many rolls of a pair of
6-sided dice are necessary for all sides to appear at least once?",  Expected Value,  Hard
Mislabeled bags, "You are given three bags of fruits. One has apples in it; one has oranges in it; and one has a mix of apples and oranges in it. Each bag has a label on it (apple, orange or mix). Unfortunately, your manager tells you that ALL bags are mislabeled. Can you identify the bags by taking out just one fruit?",  Puzzles,  Easy
Cars on road, "Your research assistants have discovered that there's a
625
609
chance of seeing at least one car during any 20-minute time interval on a specific highway. You are curious to know the probability of seeing at least one car during a shorter time span of 5 minutes. You assume that the chance of seeing a car is constant throughout the entire 20 minutes. Can you calculate the probability of seeing a car within a 5-minute time frame?",  Probability,  Easy
Witches at the coffee shop, "Two witches make a nightly visit to an all-night coffee shop. Each arrives at a random time between
0:00 and
1:00. Each one of them stays for exactly
30 minutes. On any one given night, what is the probability that the witches will meet at the coffee shop?",  Probability,  Easy
Estimate pi, "You have a random number generator that can output a decimal from 0 to 1. Using this tool, is it possible to devise an experiment to get the value of pi?",  Algorithms,  Easy
Optimal Die Stop Strategy, "Suppose we can roll a 6-sided die up to
n times. At any point we can stop, and that roll becomes our score. Our goal is to get the highest possible score, on average. Using the most optimal strategy, what is the max expected value of our score for
n=3?",  Expected Value,  Medium
Handshakes, "Imagine you attend a welcome party with
25 colleagues. As you arrive, each of your fellow team members greets you with a handshake. You notice that many people in the room are also randomly shaking hands with others as they meet for the first time. You're unsure of the total number of handshakes exchanged that evening, but you're curious to know if there were at least two people who shook hands with the same number of people. Can you determine this with certainty?",  Discrete Maths,  Easy
Roll Die till Difference, "On average, how many times must a 6-sided die be rolled until there are two rolls in a row that differ by 1 or no more than 1?",  Expected Value,  Hard
Two cylinders, "Imagine two tubes, both with a radius of
1, crossing each other perfectly at the center. What is the total amount of space that is shared between the two tubes?",  Geometry,  Easy
Square Infection, "An infection spreads among the squares of an
nX
n checkerboard in the following manner. If a square has two or more infected neighbours, it becomes infected itself. (Each square has 4 neighbors only!). Can we infect the whole board if we begin with fewer than
n infected squares?",  Puzzles,  Medium
Game of Divisors, "Two immensely intelligent players,
A &
B, engage in a game, the rules of which are as follows. For some natural number
N, the board consists of numbers from
1 to
N. Each player takes turns to strike off a (new) number from the board. But, to make sure
N does't affect who wins, there is an added rule. Once you strike of a number, you also have to strike off all its divisors in that same chance, irrespective of whether any of those divisors were already marked. The player to strike off the last number on the board wins. Can
A construct a winning strategy?",  Number Theory,  Hard
Which Switch?, "There is a light bulb inside a room and four switches outside. All switches are currently at off state and only one switch controls the light bulb. You may turn any number of switches on or off any number of times you want. How many times do you need to go into the room to figure out which switch controls the light bulb?",  Puzzles,  Easy
Maximizing Score in Dice Game, "We are playing a game with a die where we roll and sum our rolls. We can choose to stop at any time and take the sum as our score, but if we roll the same face twice in a row (consecutively), we lose all our points. Calculate the range in which the maximal expected score lies?",  Expected Value,  Medium
Cheating Husbands, "A certain town comprises of
100 married couples. Some husbands secretly cheat on their wives. All wives know about the nature of every husband except their own. When a wife concludes that her husband cheated, she kicks her husband into the street at midnight. All husbands remain silent about their secret. One day, the mayor of the town announces to the whole town that there is at least
1 cheating husband in the town. After announcement, no one talks, waiting for someone to get kicked. Till
9
th
night from announcement, no husband was kicked, but on the
10
th
night, some husbands got kicked out simultaneously. How many are they?",  Puzzles,  Easy
Distinct Number Draws, "Given the set of numbers from
1 to
n: {
1,2,3..n} We draw
n numbers randomly (with uniform distribution) from this set (with replacement). What is the expected number of distinct values that we would draw? Answer for
n=4",  Expected Value,  Medium
Consecutive sums, "An optimist and a pessimist are examining a sequence of real numbers. The optimist remarks, ‘Oh jolly! The sum of any eight consecutive terms is positive!’ But the pessimist interjects, ‘Not so fast, the sum of any five consecutive terms is negative.’",  Discrete Maths,  Easy
Connecting Noodles, "You have
100 noodles in your soup bowl. You are told to take two ends of some noodles (each end on any noodle has the same probability of being chosen) in your bowl and connect them. You continue until there are no free ends. Find the expression for the expected number of loops.",  Probability,  Hard
Missing integers, "Imagine you have
98 different whole numbers ranging from
1 to
100, but you noticed that two numbers are missing. As an expert in statistics and probability, is it possible to identify the two missing numbers within the range of
1 to
100? If yes, how and if no, why?",  Discrete Maths,  Easy
Meeting probability, "Two bankers each arrive at the station at some random time between
5:00 AM and
6:00 AM (arrival time for either banker is uniformly distributed). They stay exactly five minutes and then leave. What is the probability they will meet on a given day?",  Probability,  Medium
Innocent Monkey, "A very innocent monkey throws a fair die. The monkey will eat as many bananas as are shown on the die, from
1 to
5. But if the die shows '
6', the monkey will eat
5 bananas and throw the die again. This may continue indefinitely. What is the expected number of bananas the monkey will eat?",  Expected Value,  Easy
100 Light bulbs, "Light bulbs are numbered
1 to
100, and kept off initially. First person comes and toggles all the bulbs which are multiple of
1, i.e. he switches all bulbs to on. Second person toggles all multiples of
2, i.e he turns of even bulbs. Third person comes and toggles all multiples of
3. This process continues till
100 persons pass. After this, how many bulbs are ON?",  Discrete Maths,  Easy
